Product Name,Price,Original Price,Discount,Rating,Reviews,Product URL,Image URL
"vivo Y21 5G (Mystic Blue, 128 GB)","₹20,999","₹49,999","58% off","4.1","77 Ratings","https://www.flipkart.com/vivo-y21-5g-mystic-blue-128-gb/p/itm652c2ea2dcf34?pid=MOBHZF4T5GXQKTAA&lid=LSTMOBHZF4T5GXQKTAAYRJDKG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_56&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=164fb0e3-e754-4828-9f62-4645c1730536.MOBHZF4T5GXQKTAA.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/t/h/-original-imahz9twge6rwvuj.jpeg?q=70"
"vivo Y21 5G (Straw Gold, 128 GB)","₹20,999","₹49,999","58% off","4.1","77 Ratings","https://www.flipkart.com/vivo-y21-5g-straw-gold-128-gb/p/itm652c2ea2dcf34?pid=MOBHZF4T7BE44GUZ&lid=LSTMOBHZF4T7BE44GUZZ3NYPK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_64&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=164fb0e3-e754-4828-9f62-4645c1730536.MOBHZF4T7BE44GUZ.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/r/j/-original-imahz9twazczd4xn.jpeg?q=70"
"vivo Y11 5G (Cosmic Gold, 64 GB)","₹16,999","₹39,999","57% off","4.1","207 Ratings","https://www.flipkart.com/vivo-y11-5g-cosmic-gold-64-gb/p/itm722b8f27be0b8?pid=MOBHZF4TFXUNDF4Z&lid=LSTMOBHZF4TFXUNDF4ZZIFHP6&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_41&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a77e2f28-7c6a-4936-8038-25dde7cf7647.MOBHZF4TFXUNDF4Z.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/x/c/-original-imahz9tnj6f7ama4.jpeg?q=70"
"vivo Y05 (Straw Gold, 64 GB)","₹14,999","₹34,999","57% off","3.7","46 Ratings","https://www.flipkart.com/vivo-y05-straw-gold-64-gb/p/itm7b1e1a65e7c1f?pid=MOBHZF4TYZQQX4ZM&lid=LSTMOBHZF4TYZQQX4ZMCG4VYT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_47&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a77e2f28-7c6a-4936-8038-25dde7cf7647.MOBHZF4TYZQQX4ZM.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/w/w/-original-imahz9unvmxczmhh.jpeg?q=70"
"vivo Y11 5G (Cosmic Gold, 128 GB)","₹18,999","₹44,999","57% off","4.1","207 Ratings","https://www.flipkart.com/vivo-y11-5g-cosmic-gold-128-gb/p/itm722b8f27be0b8?pid=MOBHZF4TUDMVEFHM&lid=LSTMOBHZF4TUDMVEFHMAONFV6&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_49&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=164fb0e3-e754-4828-9f62-4645c1730536.MOBHZF4TUDMVEFHM.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/x/c/-original-imahz9tnj6f7ama4.jpeg?q=70"
"vivo Y05 (Mystic Blue, 64 GB)","₹14,999","₹34,999","57% off","3.7","46 Ratings","https://www.flipkart.com/vivo-y05-mystic-blue-64-gb/p/itm7b1e1a65e7c1f?pid=MOBHZF4TRGDHEGGW&lid=LSTMOBHZF4TRGDHEGGWKP8MEX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_53&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=164fb0e3-e754-4828-9f62-4645c1730536.MOBHZF4TRGDHEGGW.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/0/s/-original-imahz9unb5fgbgxg.jpeg?q=70"
"vivo Y11 5G (Mystic Blue, 64 GB)","₹16,999","₹39,999","57% off","4.1","207 Ratings","https://www.flipkart.com/vivo-y11-5g-mystic-blue-64-gb/p/itm722b8f27be0b8?pid=MOBHZF4TRQECK68N&lid=LSTMOBHZF4TRQECK68NAVQKM2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_57&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=164fb0e3-e754-4828-9f62-4645c1730536.MOBHZF4TRQECK68N.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/e/o/-original-imahz9tnrvh6yb8f.jpeg?q=70"
"vivo Y11 5G (Mystic Blue, 128 GB)","₹18,999","₹44,999","57% off","4.1","207 Ratings","https://www.flipkart.com/vivo-y11-5g-mystic-blue-128-gb/p/itm722b8f27be0b8?pid=MOBHZF4T4JRVTHY4&lid=LSTMOBHZF4T4JRVTHY4KR3BUH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_61&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=164fb0e3-e754-4828-9f62-4645c1730536.MOBHZF4T4JRVTHY4.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/x/c/-original-imahz9tnj6f7ama4.jpeg?q=70"
"realme GT 2 Pro (Steel Black, 256 GB)","₹28,999","₹66,999","56% off","4.2","2,154 Ratings","https://www.flipkart.com/realme-gt-2-pro-steel-black-256-gb/p/itm125e5a8c1de92?pid=MOBGCRYZ8JWVBCJD&lid=LSTMOBGCRYZ8JWVBCJD7PFBHW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_85&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=5d839ed1-8e15-4da1-a3b5-40908aa1f9dc.MOBGCRYZ8JWVBCJD.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/3/o/b/-original-imagetmeqj2tndqx.jpeg?q=70"
"realme GT 2 Pro (Steel Black, 256 GB)","₹28,999","₹66,999","56% off","4.2","2,154 Ratings","https://www.flipkart.com/realme-gt-2-pro-steel-black-256-gb/p/itm125e5a8c1de92?pid=MOBGCRYZ8JWVBCJD&lid=LSTMOBGCRYZ8JWVBCJD7PFBHW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_85&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=5d839ed1-8e15-4da1-a3b5-40908aa1f9dc.MOBGCRYZ8JWVBCJD.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/3/o/b/-original-imagetmeqj2tndqx.jpeg?q=70"
"realme GT 2 Pro (Steel Black, 128 GB)","₹25,990","₹57,999","55% off","4.2","5,474 Ratings","https://www.flipkart.com/realme-gt-2-pro-steel-black-128-gb/p/itm125e5a8c1de92?pid=MOBGCRYZFJMG84ZE&lid=LSTMOBGCRYZFJMG84ZEK0SSWJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_72&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=164fb0e3-e754-4828-9f62-4645c1730536.MOBGCRYZFJMG84ZE.SEARCH&ppt=sp&ppn=sp&ssid=scmxhkkcao0000001783235655225&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/l3rmzrk0/mobile/3/o/b/-original-imagetmeqj2tndqx.jpeg?q=70"
