Product Name,Price,Original Price,Discount,Rating,Reviews,Product URL,Image URL
"vivo Y05 (Straw Gold, 64 GB)","₹12,999","₹34,999","62% off","3.7","20 Ratings","https://www.flipkart.com/vivo-y05-straw-gold-64-gb/p/itm7b1e1a65e7c1f?pid=MOBHZF4TYZQQX4ZM&lid=LSTMOBHZF4TYZQQX4ZMCG4VYT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_2_41&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=f349873d-de9e-434d-94a0-2238bcd842a1.MOBHZF4TYZQQX4ZM.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/w/w/-original-imahz9unvmxczmhh.jpeg?q=70"
"vivo Y21 5G (Mystic Blue, 128 GB)","₹18,999","₹49,999","62% off","4.1","53 Ratings","https://www.flipkart.com/vivo-y21-5g-mystic-blue-128-gb/p/itm652c2ea2dcf34?pid=MOBHZF4T5GXQKTAA&lid=LSTMOBHZF4T5GXQKTAAYRJDKG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_3_68&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=32049e82-0916-4dda-b943-9dda091389d9.MOBHZF4T5GXQKTAA.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/t/h/-original-imahz9twge6rwvuj.jpeg?q=70"
"vivo Y05 (Mystic Blue, 64 GB)","₹12,999","₹34,999","62% off","3.7","20 Ratings","https://www.flipkart.com/vivo-y05-mystic-blue-64-gb/p/itm7b1e1a65e7c1f?pid=MOBHZF4TRGDHEGGW&lid=LSTMOBHZF4TRGDHEGGWKP8MEX&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_77&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBHZF4TRGDHEGGW.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/0/s/-original-imahz9unb5fgbgxg.jpeg?q=70"
"vivo Y21 5G (Straw Gold, 128 GB)","₹18,999","₹49,999","62% off","4.1","53 Ratings","https://www.flipkart.com/vivo-y21-5g-straw-gold-128-gb/p/itm652c2ea2dcf34?pid=MOBHZF4T7BE44GUZ&lid=LSTMOBHZF4T7BE44GUZZ3NYPK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_79&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBHZF4T7BE44GUZ.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/r/j/-original-imahz9twazczd4xn.jpeg?q=70"
"vivo Y21 5G (Straw Gold, 128 GB)","₹21,999","₹54,999","60% off","4.7","29 Ratings","https://www.flipkart.com/vivo-y21-5g-straw-gold-128-gb/p/itm652c2ea2dcf34?pid=MOBHZF4TY9J7HYEF&lid=LSTMOBHZF4TY9J7HYEFQHPPEO&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_89&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=search-autosuggest&iid=a6cf0ecf-171d-4c3e-9a8b-d79c956faa7f.MOBHZF4TY9J7HYEF.SEARCH&ppt=sp&ppn=sp&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/r/j/-original-imahz9twazczd4xn.jpeg?q=70"
"realme P4 Lite (Beach Gold, 64 GB)","₹11,999","₹24,999","52% off","4","3,132 Ratings","https://www.flipkart.com/realme-p4-lite-beach-gold-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KF4XYHTDM&lid=LSTMOBHMX7KF4XYHTDMBW6TWC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=d632f158-2d97-4a37-bcd4-2e8af156e697.MOBHMX7KF4XYHTDM.SEARCH&ppt=None&ppn=None&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/a/a/-original-imahmx82vachdh9z.jpeg?q=70"
"realme P4 Lite (Sea Blue, 64 GB)","₹11,999","₹24,999","52% off","4","3,132 Ratings","https://www.flipkart.com/realme-p4-lite-sea-blue-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KEQPFYJ5U&lid=LSTMOBHMX7KEQPFYJ5UYOGZ28&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=d632f158-2d97-4a37-bcd4-2e8af156e697.MOBHMX7KEQPFYJ5U.SEARCH&ppt=None&ppn=None&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/g/q/-original-imahmx8fh8pacxjf.jpeg?q=70"
"realme P4 Lite 5G (Mosaic Blue, 128 GB)","₹15,999","₹32,999","51% off","4.3","7,046 Ratings","https://www.flipkart.com/realme-p4-lite-5g-mosaic-blue-128-gb/p/itm90c243961f214?pid=MOBHN7A8MNWG6FFH&lid=LSTMOBHN7A8MNWG6FFHNRI9KK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=d632f158-2d97-4a37-bcd4-2e8af156e697.MOBHN7A8MNWG6FFH.SEARCH&ppt=None&ppn=None&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/z/a/-original-imahhngs3z46gnew.jpeg?q=70"
"realme P4 Lite 5G (Mosaic Green, 128 GB)","₹15,999","₹32,999","51% off","4.3","7,046 Ratings","https://www.flipkart.com/realme-p4-lite-5g-mosaic-green-128-gb/p/itm90c243961f214?pid=MOBHN7A8PBUWNHG5&lid=LSTMOBHN7A8PBUWNHG5BENLLV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=d632f158-2d97-4a37-bcd4-2e8af156e697.MOBHN7A8PBUWNHG5.SEARCH&ppt=None&ppn=None&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/j/x/-original-imahhngsymvs8bfs.jpeg?q=70"
"realme P4 Lite 5G (Mosaic Blue, 128 GB)","₹17,999","₹36,999","51% off","4.3","1,149 Ratings","https://www.flipkart.com/realme-p4-lite-5g-mosaic-blue-128-gb/p/itm90c243961f214?pid=MOBHN7A8AG9TYTW6&lid=LSTMOBHN7A8AG9TYTW6XV24FV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=d632f158-2d97-4a37-bcd4-2e8af156e697.MOBHN7A8AG9TYTW6.SEARCH&ppt=None&ppn=None&ssid=0kzfcqsy5s0000001782066539034&qH=eb4af0bf07c16429&ov_redirect=true","https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/z/a/-original-imahhngs3z46gnew.jpeg?q=70"
